Price,Close,High,Low,Open,Volume
Ticker,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK
Datetime,,,,,
2023-10-09 02:00:00+00:00,5200.0,5225.0,5175.0,5200.0,15199300
2023-10-09 03:00:00+00:00,5175.0,5200.0,5125.0,5200.0,33701800
2023-10-09 04:00:00+00:00,5150.0,5175.0,5150.0,5150.0,7039400
2023-10-09 06:00:00+00:00,5175.0,5175.0,5150.0,5175.0,7545900
2023-10-09 07:00:00+00:00,5125.0,5175.0,5125.0,5175.0,29913600
2023-10-09 08:00:00+00:00,5150.0,5175.0,5125.0,5125.0,18798200
2023-10-09 09:00:00+00:00,5125.0,5125.0,5125.0,5125.0,0
2023-10-10 02:00:00+00:00,5175.0,5200.0,5125.0,5150.0,22655400
2023-10-10 03:00:00+00:00,5175.0,5200.0,5175.0,5175.0,4942200
2023-10-10 04:00:00+00:00,5200.0,5225.0,5175.0,5200.0,15824500
2023-10-10 06:00:00+00:00,5225.0,5225.0,5175.0,5200.0,6589900
2023-10-10 07:00:00+00:00,5225.0,5250.0,5200.0,5225.0,18885300
2023-10-10 08:00:00+00:00,5200.0,5225.0,5175.0,5225.0,24704400
2023-10-10 09:00:00+00:00,5175.0,5175.0,5175.0,5175.0,0
2023-10-11 02:00:00+00:00,5200.0,5225.0,5150.0,5175.0,10214000
2023-10-11 03:00:00+00:00,5225.0,5225.0,5200.0,5225.0,5151100
2023-10-11 04:00:00+00:00,5225.0,5225.0,5200.0,5200.0,4967600
2023-10-11 06:00:00+00:00,5225.0,5225.0,5200.0,5225.0,2253300
2023-10-11 07:00:00+00:00,5225.0,5225.0,5200.0,5225.0,11467700
2023-10-11 08:00:00+00:00,5250.0,5275.0,5200.0,5225.0,27544200
2023-10-11 09:00:00+00:00,5250.0,5250.0,5250.0,5250.0,0
2023-10-12 02:00:00+00:00,5350.0,5350.0,5275.0,5300.0,38461900
2023-10-12 03:00:00+00:00,5350.0,5350.0,5325.0,5350.0,11362600
2023-10-12 04:00:00+00:00,5350.0,5375.0,5325.0,5325.0,15946700
2023-10-12 06:00:00+00:00,5375.0,5375.0,5350.0,5375.0,5184400
2023-10-12 07:00:00+00:00,5350.0,5375.0,5325.0,5375.0,26901400
2023-10-12 08:00:00+00:00,5325.0,5350.0,5325.0,5350.0,31863500
2023-10-12 09:00:00+00:00,5300.0,5300.0,5300.0,5300.0,0
2023-10-13 02:00:00+00:00,5300.0,5325.0,5275.0,5300.0,10679900
2023-10-13 03:00:00+00:00,5300.0,5325.0,5275.0,5300.0,14040800
2023-10-13 04:00:00+00:00,5300.0,5300.0,5275.0,5275.0,1851200
2023-10-13 07:00:00+00:00,5275.0,5300.0,5275.0,5300.0,13462800
2023-10-13 08:00:00+00:00,5275.0,5300.0,5250.0,5300.0,25378200
2023-10-13 09:00:00+00:00,5275.0,5275.0,5275.0,5275.0,13243400
2023-10-16 02:00:00+00:00,5300.0,5325.0,5300.0,5325.0,5613900
2023-10-16 03:00:00+00:00,5250.0,5325.0,5250.0,5325.0,7970000
2023-10-16 04:00:00+00:00,5275.0,5275.0,5250.0,5275.0,4556200
2023-10-16 06:00:00+00:00,5250.0,5275.0,5250.0,5275.0,2549200
2023-10-16 07:00:00+00:00,5275.0,5275.0,5250.0,5250.0,8853700
2023-10-16 08:00:00+00:00,5275.0,5275.0,5250.0,5250.0,6946100
2023-10-16 09:00:00+00:00,5250.0,5250.0,5250.0,5250.0,0
2023-10-17 02:00:00+00:00,5225.0,5275.0,5200.0,5275.0,14730000
2023-10-17 03:00:00+00:00,5175.0,5225.0,5150.0,5200.0,28020000
2023-10-17 04:00:00+00:00,5175.0,5175.0,5150.0,5150.0,15396300
2023-10-17 05:00:00+00:00,5175.0,5175.0,5175.0,5175.0,100
2023-10-17 06:00:00+00:00,5175.0,5175.0,5150.0,5175.0,4358900
2023-10-17 07:00:00+00:00,5175.0,5200.0,5150.0,5175.0,23127000
2023-10-17 08:00:00+00:00,5175.0,5200.0,5150.0,5200.0,15913700
2023-10-17 09:00:00+00:00,5150.0,5150.0,5150.0,5150.0,0
2023-10-18 02:00:00+00:00,5150.0,5175.0,5125.0,5125.0,8205800
2023-10-18 03:00:00+00:00,5200.0,5200.0,5150.0,5150.0,7262000
2023-10-18 04:00:00+00:00,5200.0,5200.0,5175.0,5200.0,7568700
2023-10-18 06:00:00+00:00,5175.0,5200.0,5175.0,5200.0,1969500
2023-10-18 07:00:00+00:00,5225.0,5225.0,5175.0,5200.0,23075300
2023-10-18 08:00:00+00:00,5200.0,5225.0,5175.0,5200.0,13933400
2023-10-18 09:00:00+00:00,5150.0,5150.0,5150.0,5150.0,0
2023-10-19 02:00:00+00:00,5100.0,5150.0,5075.0,5100.0,20308600
2023-10-19 03:00:00+00:00,5100.0,5125.0,5100.0,5100.0,11992400
2023-10-19 04:00:00+00:00,5100.0,5125.0,5075.0,5125.0,24406800
2023-10-19 06:00:00+00:00,5075.0,5100.0,5075.0,5100.0,7734400
2023-10-19 07:00:00+00:00,5075.0,5100.0,5050.0,5100.0,27099500
2023-10-19 08:00:00+00:00,5050.0,5075.0,5000.0,5050.0,57877900
2023-10-19 09:00:00+00:00,5000.0,5000.0,5000.0,5000.0,0
2023-10-20 02:00:00+00:00,5025.0,5050.0,4960.0,4980.0,88571000
2023-10-20 03:00:00+00:00,5050.0,5050.0,5000.0,5025.0,12635900
2023-10-20 04:00:00+00:00,5050.0,5075.0,5025.0,5050.0,10629600
2023-10-20 07:00:00+00:00,5100.0,5100.0,5025.0,5075.0,30226000
2023-10-20 08:00:00+00:00,5075.0,5100.0,5050.0,5100.0,23797700
2023-10-20 09:00:00+00:00,5050.0,5050.0,5050.0,5050.0,21188600
2023-10-23 02:00:00+00:00,5025.0,5075.0,5000.0,5025.0,10380600
2023-10-23 03:00:00+00:00,5025.0,5025.0,4990.0,5025.0,10203900
2023-10-23 04:00:00+00:00,5000.0,5025.0,5000.0,5025.0,6683600
2023-10-23 06:00:00+00:00,5000.0,5025.0,4990.0,5000.0,12031100
2023-10-23 07:00:00+00:00,5000.0,5025.0,5000.0,5000.0,4611600
2023-10-23 08:00:00+00:00,5000.0,5025.0,5000.0,5025.0,19999200
2023-10-23 09:00:00+00:00,5000.0,5000.0,5000.0,5000.0,14107400
2023-10-24 02:00:00+00:00,5075.0,5075.0,4980.0,5025.0,19116300
2023-10-24 03:00:00+00:00,5050.0,5075.0,5050.0,5050.0,5738300
2023-10-24 04:00:00+00:00,5025.0,5075.0,5025.0,5050.0,9793600
2023-10-24 06:00:00+00:00,5075.0,5075.0,5025.0,5025.0,8726800
2023-10-24 07:00:00+00:00,5100.0,5100.0,5050.0,5050.0,13107300
2023-10-24 08:00:00+00:00,5075.0,5100.0,5075.0,5075.0,21288700
2023-10-24 09:00:00+00:00,5100.0,5100.0,5100.0,5100.0,0
2023-10-25 02:00:00+00:00,5175.0,5200.0,5100.0,5125.0,30419700
2023-10-25 03:00:00+00:00,5200.0,5200.0,5150.0,5175.0,12623000
2023-10-25 04:00:00+00:00,5200.0,5200.0,5175.0,5200.0,10229300
2023-10-25 06:00:00+00:00,5150.0,5200.0,5150.0,5175.0,17999500
2023-10-25 07:00:00+00:00,5175.0,5175.0,5150.0,5150.0,10789300
2023-10-25 08:00:00+00:00,5200.0,5200.0,5150.0,5175.0,38131200
2023-10-25 09:00:00+00:00,5175.0,5175.0,5175.0,5175.0,0
2023-10-26 02:00:00+00:00,5025.0,5175.0,5025.0,5175.0,37470600
2023-10-26 03:00:00+00:00,4970.0,5050.0,4960.0,5050.0,71921300
2023-10-26 04:00:00+00:00,4970.0,4980.0,4950.0,4980.0,40423800
2023-10-26 06:00:00+00:00,4990.0,4990.0,4960.0,4970.0,17208700
2023-10-26 07:00:00+00:00,4950.0,5000.0,4950.0,4990.0,42237700
